engagement_id,impression_id,user_id,ad_id,campaign_id,engagement_type,time_spent_seconds,scroll_depth_percent,interaction_count,engagement_timestamp
ENG-099538,IMP-099174,FNP-U02108,AD-004,CMP-001,click,9,20,1,2026-03-17 13:07:12
ENG-082008,IMP-169308,FNP-U02109,AD-009,CMP-003,scroll,11,88,2,2026-01-05 01:03:36
ENG-051550,IMP-057742,FNP-U02109,AD-008,CMP-002,scroll,63,89,1,2026-01-21 09:31:02
ENG-079981,IMP-090040,FNP-U02109,AD-002,CMP-001,click,2,33,1,2026-02-04 09:43:15
ENG-041929,IMP-026207,FNP-U02109,AD-015,CMP-004,click,4,20,1,2026-02-08 13:10:53
ENG-051388,IMP-014715,FNP-U02109,AD-002,CMP-001,hover,4,16,1,2026-02-16 06:49:38
ENG-001462,IMP-100845,FNP-U02109,AD-010,CMP-003,click,2,49,1,2026-02-20 09:44:08
ENG-025618,IMP-197991,FNP-U02109,AD-013,CMP-004,hover,10,13,2,2026-02-21 21:19:54
ENG-080659,IMP-088118,FNP-U02110,AD-021,CMP-006,scroll,77,88,1,2026-01-19 09:37:19
ENG-062510,IMP-096120,FNP-U02110,AD-013,CMP-004,click,5,42,1,2026-02-01 10:00:56
ENG-011481,IMP-024170,FNP-U02110,AD-014,CMP-004,click,5,40,1,2026-02-10 21:47:58
ENG-093710,IMP-022764,FNP-U02110,AD-005,CMP-002,click,1,36,1,2026-02-22 09:25:32
ENG-045299,IMP-091362,FNP-U02110,AD-015,CMP-004,hover,5,10,2,2026-02-22 13:42:59
ENG-003946,IMP-151646,FNP-U02110,AD-012,CMP-003,click,5,59,1,2026-02-25 13:49:58
ENG-078931,IMP-018945,FNP-U02110,AD-006,CMP-002,video_watch,232,85,1,2026-03-10 10:14:42
ENG-030878,IMP-075678,FNP-U02110,AD-022,CMP-006,video_watch,82,38,2,2026-03-19 22:10:03
ENG-092253,IMP-175499,FNP-U02110,AD-022,CMP-006,scroll,31,49,2,2026-03-26 06:00:55
ENG-024948,IMP-039892,FNP-U02111,AD-006,CMP-002,click,8,27,1,2026-01-05 21:22:04
ENG-004580,IMP-196620,FNP-U02111,AD-001,CMP-001,video_watch,41,44,1,2026-01-06 14:11:21
ENG-100231,IMP-148532,FNP-U02111,AD-009,CMP-003,scroll,37,60,3,2026-01-26 09:18:13
ENG-085929,IMP-102755,FNP-U02111,AD-017,CMP-005,click,5,20,1,2026-01-28 00:24:43
ENG-016074,IMP-049885,FNP-U02111,AD-005,CMP-002,scroll,56,47,3,2026-01-30 09:14:31
ENG-072729,IMP-026192,FNP-U02111,AD-016,CMP-004,click,8,32,1,2026-02-16 06:52:45
ENG-055931,IMP-154567,FNP-U02111,AD-012,CMP-003,scroll,20,81,1,2026-03-08 18:31:17
ENG-026008,IMP-190258,FNP-U02111,AD-008,CMP-002,scroll,95,74,2,2026-03-21 10:02:18
ENG-058153,IMP-193594,FNP-U02111,AD-021,CMP-006,scroll,101,83,1,2026-03-25 07:04:26
ENG-044531,IMP-118992,FNP-U02112,AD-009,CMP-003,scroll,107,60,3,2026-01-02 09:54:02
ENG-079353,IMP-021648,FNP-U02112,AD-019,CMP-005,click,3,10,1,2026-01-18 13:18:34
ENG-067667,IMP-108350,FNP-U02112,AD-011,CMP-003,scroll,23,61,3,2026-01-19 09:58:24
ENG-016921,IMP-041017,FNP-U02112,AD-017,CMP-005,click,6,55,1,2026-02-17 18:25:20
ENG-069543,IMP-193552,FNP-U02112,AD-017,CMP-005,click,2,49,1,2026-03-05 00:11:11
ENG-080543,IMP-028709,FNP-U02112,AD-003,CMP-001,hover,9,13,2,2026-03-06 18:36:08
ENG-069352,IMP-100267,FNP-U02112,AD-012,CMP-003,hover,13,10,2,2026-03-13 13:34:22
ENG-022242,IMP-181612,FNP-U02112,AD-004,CMP-001,scroll,26,82,2,2026-03-26 09:39:21
ENG-013112,IMP-176249,FNP-U02112,AD-004,CMP-001,click,4,47,1,2026-03-26 21:21:19
ENG-002525,IMP-089056,FNP-U02112,AD-004,CMP-001,hover,11,4,2,2026-03-27 13:30:02
ENG-087972,IMP-046017,FNP-U02113,AD-001,CMP-001,scroll,48,94,2,2026-01-01 09:33:05
ENG-097250,IMP-107117,FNP-U02113,AD-006,CMP-002,click,5,15,1,2026-01-08 14:00:36
ENG-054465,IMP-052163,FNP-U02113,AD-015,CMP-004,click,8,59,1,2026-01-21 21:22:30
ENG-028406,IMP-057084,FNP-U02113,AD-002,CMP-001,scroll,16,99,3,2026-02-09 06:10:43
ENG-044463,IMP-138786,FNP-U02113,AD-019,CMP-005,video_watch,151,65,2,2026-02-12 13:49:51
ENG-020718,IMP-133601,FNP-U02113,AD-014,CMP-004,hover,7,16,1,2026-03-11 13:24:48
ENG-064954,IMP-040650,FNP-U02113,AD-008,CMP-002,hover,19,15,2,2026-03-26 09:30:53
ENG-013120,IMP-146611,FNP-U02113,AD-006,CMP-002,video_watch,171,20,2,2026-03-30 21:22:56
ENG-086642,IMP-139164,FNP-U02114,AD-009,CMP-003,scroll,24,41,2,2026-01-02 06:43:53
ENG-094106,IMP-161824,FNP-U02114,AD-003,CMP-001,scroll,29,50,1,2026-01-17 21:42:05
ENG-095403,IMP-099221,FNP-U02114,AD-008,CMP-002,hover,8,8,1,2026-02-05 21:27:35
ENG-061904,IMP-023161,FNP-U02114,AD-015,CMP-004,hover,15,19,2,2026-02-10 09:43:32
ENG-035437,IMP-060791,FNP-U02114,AD-019,CMP-005,scroll,115,42,2,2026-02-16 18:32:22
ENG-002140,IMP-033000,FNP-U02114,AD-008,CMP-002,scroll,42,73,2,2026-02-23 13:06:54
ENG-067301,IMP-025518,FNP-U02114,AD-006,CMP-002,video_watch,252,82,1,2026-02-28 09:38:26
ENG-025876,IMP-143124,FNP-U02115,AD-018,CMP-005,scroll,30,46,1,2026-01-10 21:45:18
ENG-060924,IMP-080294,FNP-U02115,AD-010,CMP-003,scroll,83,88,2,2026-02-04 06:36:27
ENG-043175,IMP-033066,FNP-U02115,AD-022,CMP-006,video_watch,207,63,2,2026-02-04 09:16:06
ENG-053733,IMP-157407,FNP-U02115,AD-018,CMP-005,click,8,13,1,2026-02-18 06:52:15
ENG-012243,IMP-166000,FNP-U02115,AD-003,CMP-001,scroll,52,99,2,2026-03-02 13:34:44
ENG-043445,IMP-147129,FNP-U02115,AD-007,CMP-002,click,6,58,1,2026-03-07 09:30:01
ENG-071766,IMP-100174,FNP-U02115,AD-001,CMP-001,click,9,48,1,2026-03-10 13:54:23
ENG-012447,IMP-121021,FNP-U02115,AD-006,CMP-002,click,2,51,1,2026-03-17 13:25:31
ENG-072067,IMP-164336,FNP-U02115,AD-020,CMP-005,scroll,54,65,3,2026-03-20 13:12:32
ENG-040269,IMP-046141,FNP-U02115,AD-001,CMP-001,scroll,97,44,3,2026-03-26 09:38:04
ENG-087748,IMP-090173,FNP-U02116,AD-004,CMP-001,scroll,97,69,1,2026-01-07 06:57:08
ENG-040551,IMP-067892,FNP-U02116,AD-017,CMP-005,video_watch,196,86,1,2026-01-16 18:08:59
ENG-024904,IMP-107094,FNP-U02116,AD-018,CMP-005,click,4,41,1,2026-02-16 18:36:12
ENG-034566,IMP-068102,FNP-U02116,AD-005,CMP-002,scroll,67,58,1,2026-03-05 13:07:58
ENG-020964,IMP-112608,FNP-U02116,AD-008,CMP-002,scroll,64,96,3,2026-03-13 06:23:16
ENG-049071,IMP-111593,FNP-U02116,AD-002,CMP-001,hover,4,20,2,2026-03-23 13:36:39
ENG-068102,IMP-119041,FNP-U02116,AD-004,CMP-001,scroll,109,75,3,2026-03-25 09:18:51
ENG-072041,IMP-067478,FNP-U02116,AD-021,CMP-006,click,6,42,1,2026-03-29 06:47:44
ENG-029264,IMP-153637,FNP-U02117,AD-004,CMP-001,click,7,30,1,2026-01-05 09:23:07
ENG-095952,IMP-081889,FNP-U02117,AD-008,CMP-002,hover,2,16,1,2026-01-06 13:47:02
ENG-058931,IMP-078372,FNP-U02117,AD-007,CMP-002,hover,14,6,2,2026-01-07 18:53:06
ENG-045868,IMP-001535,FNP-U02117,AD-012,CMP-003,hover,6,10,1,2026-01-13 09:12:05
ENG-074598,IMP-122893,FNP-U02117,AD-016,CMP-004,hover,8,1,2,2026-01-18 13:53:37
ENG-067303,IMP-079028,FNP-U02117,AD-019,CMP-005,click,5,53,1,2026-01-24 00:04:44
ENG-009080,IMP-156962,FNP-U02117,AD-021,CMP-006,hover,14,18,1,2026-01-31 13:34:11
ENG-072113,IMP-120427,FNP-U02117,AD-008,CMP-002,hover,11,3,2,2026-02-02 00:52:40
ENG-094748,IMP-114823,FNP-U02117,AD-007,CMP-002,hover,19,18,1,2026-02-20 09:06:45
ENG-086659,IMP-089971,FNP-U02117,AD-004,CMP-001,click,1,13,1,2026-02-21 18:47:23
ENG-009079,IMP-186607,FNP-U02117,AD-018,CMP-005,scroll,65,49,3,2026-02-26 18:48:31
ENG-005749,IMP-082587,FNP-U02117,AD-017,CMP-005,click,6,35,1,2026-03-04 09:25:51
ENG-012493,IMP-192639,FNP-U02117,AD-010,CMP-003,click,2,14,1,2026-03-13 06:27:17
ENG-071420,IMP-091627,FNP-U02117,AD-001,CMP-001,scroll,111,68,3,2026-03-15 18:49:18
ENG-088548,IMP-124213,FNP-U02118,AD-006,CMP-002,click,4,15,1,2026-01-07 09:24:11
ENG-055436,IMP-152484,FNP-U02118,AD-018,CMP-005,click,6,32,1,2026-01-14 13:44:56
ENG-053468,IMP-135578,FNP-U02118,AD-001,CMP-001,click,9,35,1,2026-01-16 09:32:34
ENG-097754,IMP-159650,FNP-U02118,AD-011,CMP-003,scroll,117,74,2,2026-01-30 07:01:18
ENG-029946,IMP-118194,FNP-U02118,AD-012,CMP-003,hover,10,19,1,2026-02-15 21:20:16
ENG-013924,IMP-028314,FNP-U02118,AD-001,CMP-001,scroll,47,51,1,2026-02-23 21:20:43
ENG-010468,IMP-133049,FNP-U02118,AD-015,CMP-004,hover,4,18,2,2026-02-28 18:06:58
ENG-008645,IMP-137231,FNP-U02118,AD-014,CMP-004,hover,16,5,2,2026-03-12 06:34:35
ENG-069610,IMP-175486,FNP-U02118,AD-008,CMP-002,click,5,26,1,2026-03-29 18:11:17
ENG-067395,IMP-166285,FNP-U02119,AD-005,CMP-002,scroll,113,73,2,2026-01-07 09:13:32
ENG-014218,IMP-189353,FNP-U02119,AD-001,CMP-001,click,1,36,1,2026-01-10 18:53:39
ENG-037255,IMP-029437,FNP-U02119,AD-011,CMP-003,scroll,88,43,3,2026-02-06 21:51:08
ENG-077571,IMP-154906,FNP-U02119,AD-015,CMP-004,click,5,47,1,2026-02-15 18:51:40
ENG-092846,IMP-020182,FNP-U02119,AD-019,CMP-005,click,5,23,1,2026-03-12 13:54:58
ENG-094104,IMP-180502,FNP-U02119,AD-001,CMP-001,click,7,30,1,2026-03-23 18:44:52
ENG-086379,IMP-110526,FNP-U02119,AD-009,CMP-003,click,6,23,1,2026-03-24 09:25:15
ENG-060923,IMP-089842,FNP-U02119,AD-012,CMP-003,hover,3,17,1,2026-03-31 09:12:15
ENG-020870,IMP-047524,FNP-U02120,AD-005,CMP-002,scroll,118,92,1,2026-01-03 13:09:07
ENG-071063,IMP-049566,FNP-U02120,AD-004,CMP-001,click,2,38,1,2026-01-06 13:07:01
ENG-099345,IMP-052659,FNP-U02120,AD-002,CMP-001,click,2,20,1,2026-01-19 21:34:35
ENG-070819,IMP-081798,FNP-U02120,AD-001,CMP-001,scroll,37,71,1,2026-01-21 00:32:39
ENG-002878,IMP-094337,FNP-U02120,AD-020,CMP-005,scroll,58,91,2,2026-02-14 07:06:48
ENG-074804,IMP-118754,FNP-U02120,AD-002,CMP-001,click,5,10,1,2026-02-15 09:48:32
ENG-026860,IMP-164796,FNP-U02120,AD-001,CMP-001,scroll,115,57,1,2026-02-17 18:37:15
ENG-000557,IMP-112553,FNP-U02120,AD-002,CMP-001,click,1,33,1,2026-02-20 06:12:45
ENG-075343,IMP-126643,FNP-U02120,AD-004,CMP-001,hover,4,11,1,2026-03-08 13:12:53
ENG-070116,IMP-194985,FNP-U02120,AD-006,CMP-002,scroll,54,56,1,2026-03-25 00:29:09
ENG-003683,IMP-104728,FNP-U02120,AD-020,CMP-005,click,8,47,1,2026-03-26 18:30:19
ENG-094054,IMP-066366,FNP-U02121,AD-015,CMP-004,hover,9,11,1,2026-01-04 06:07:09
ENG-078938,IMP-160189,FNP-U02121,AD-005,CMP-002,click,1,45,1,2026-01-24 13:25:03
ENG-070787,IMP-158587,FNP-U02121,AD-008,CMP-002,click,9,56,1,2026-01-28 13:28:22
ENG-091800,IMP-053385,FNP-U02121,AD-019,CMP-005,click,10,45,1,2026-01-30 06:13:17
ENG-042667,IMP-110349,FNP-U02121,AD-008,CMP-002,hover,8,14,2,2026-03-09 00:10:49
ENG-045990,IMP-053491,FNP-U02121,AD-007,CMP-002,click,6,21,1,2026-03-25 13:35:23
ENG-097586,IMP-097349,FNP-U02121,AD-001,CMP-001,video_watch,121,53,1,2026-03-30 21:19:53
ENG-025955,IMP-096518,FNP-U02122,AD-010,CMP-003,hover,4,20,2,2026-01-03 06:45:53
ENG-083350,IMP-077957,FNP-U02122,AD-004,CMP-001,hover,8,8,2,2026-01-10 00:54:19
ENG-091267,IMP-161953,FNP-U02122,AD-004,CMP-001,hover,14,3,2,2026-01-12 13:08:47
ENG-046006,IMP-155112,FNP-U02122,AD-017,CMP-005,scroll,21,79,2,2026-02-09 09:42:16
ENG-015302,IMP-007229,FNP-U02122,AD-001,CMP-001,video_watch,163,23,2,2026-02-10 19:06:04
ENG-018128,IMP-170884,FNP-U02122,AD-013,CMP-004,hover,8,5,2,2026-02-13 13:27:59
ENG-047328,IMP-058196,FNP-U02122,AD-017,CMP-005,click,4,32,1,2026-03-06 13:26:14
ENG-047233,IMP-018234,FNP-U02122,AD-015,CMP-004,click,9,42,1,2026-03-07 13:26:51
ENG-091742,IMP-189215,FNP-U02122,AD-018,CMP-005,video_watch,81,53,1,2026-03-09 13:16:14
ENG-094513,IMP-108235,FNP-U02122,AD-006,CMP-002,click,9,39,1,2026-03-10 00:33:01
ENG-019565,IMP-103134,FNP-U02122,AD-021,CMP-006,scroll,117,46,3,2026-03-11 19:00:57
ENG-058540,IMP-172263,FNP-U02122,AD-021,CMP-006,click,8,13,1,2026-03-11 21:11:38
ENG-052429,IMP-120920,FNP-U02122,AD-018,CMP-005,click,8,13,1,2026-03-15 13:57:42
ENG-058557,IMP-154414,FNP-U02122,AD-008,CMP-002,scroll,115,50,2,2026-03-17 13:16:02
ENG-017565,IMP-150958,FNP-U02122,AD-006,CMP-002,click,10,58,1,2026-03-23 09:07:21
ENG-051939,IMP-017078,FNP-U02122,AD-004,CMP-001,click,10,43,1,2026-03-25 18:53:26
ENG-077326,IMP-123823,FNP-U02122,AD-016,CMP-004,hover,8,17,1,2026-03-29 00:21:49
ENG-083162,IMP-199075,FNP-U02123,AD-006,CMP-002,scroll,85,76,2,2026-01-16 13:10:28
ENG-029853,IMP-097308,FNP-U02123,AD-004,CMP-001,click,9,60,1,2026-02-16 09:24:43
ENG-009026,IMP-183565,FNP-U02123,AD-003,CMP-001,hover,10,17,1,2026-02-18 18:54:06
ENG-084890,IMP-016319,FNP-U02123,AD-008,CMP-002,scroll,91,89,2,2026-02-22 13:51:04
ENG-057996,IMP-186739,FNP-U02123,AD-001,CMP-001,scroll,25,71,3,2026-03-12 09:15:48
ENG-005283,IMP-161193,FNP-U02123,AD-010,CMP-003,scroll,112,89,3,2026-03-17 06:07:12
ENG-024324,IMP-130282,FNP-U02123,AD-007,CMP-002,click,10,24,1,2026-03-31 09:46:42
ENG-017154,IMP-179980,FNP-U02124,AD-001,CMP-001,scroll,27,58,1,2026-01-06 21:08:07
ENG-053087,IMP-096123,FNP-U02124,AD-007,CMP-002,click,5,46,1,2026-01-15 21:11:46
ENG-090212,IMP-025251,FNP-U02124,AD-005,CMP-002,click,3,54,1,2026-01-24 18:38:15
ENG-057768,IMP-186559,FNP-U02124,AD-009,CMP-003,hover,10,8,1,2026-01-26 06:44:54
ENG-070117,IMP-048562,FNP-U02124,AD-010,CMP-003,hover,2,12,2,2026-01-27 09:09:35
ENG-051297,IMP-149076,FNP-U02124,AD-008,CMP-002,scroll,67,64,1,2026-02-06 09:11:59
ENG-076207,IMP-078719,FNP-U02124,AD-008,CMP-002,click,9,20,1,2026-02-07 18:57:28
ENG-015050,IMP-040636,FNP-U02124,AD-017,CMP-005,click,7,13,1,2026-02-07 21:28:33
ENG-020141,IMP-120575,FNP-U02124,AD-022,CMP-006,click,10,19,1,2026-03-09 00:43:34
ENG-029284,IMP-012967,FNP-U02124,AD-007,CMP-002,click,5,47,1,2026-03-16 18:36:07
ENG-038714,IMP-190383,FNP-U02124,AD-007,CMP-002,hover,9,7,2,2026-03-18 09:56:42
ENG-062028,IMP-049826,FNP-U02124,AD-013,CMP-004,hover,10,5,2,2026-03-31 21:14:43
ENG-001624,IMP-189404,FNP-U02125,AD-003,CMP-001,scroll,48,97,3,2026-01-04 06:43:26
ENG-020578,IMP-158237,FNP-U02125,AD-002,CMP-001,scroll,55,79,3,2026-01-14 13:06:06
ENG-046863,IMP-188482,FNP-U02125,AD-008,CMP-002,scroll,31,67,2,2026-01-14 13:25:22
ENG-039754,IMP-157819,FNP-U02125,AD-009,CMP-003,hover,11,4,2,2026-01-21 00:48:58
ENG-023208,IMP-095216,FNP-U02125,AD-015,CMP-004,hover,17,18,2,2026-01-24 13:15:49
ENG-001801,IMP-040278,FNP-U02125,AD-001,CMP-001,video_watch,59,36,1,2026-01-28 18:53:37
ENG-018611,IMP-195903,FNP-U02125,AD-005,CMP-002,scroll,81,73,3,2026-01-30 13:02:11
ENG-090858,IMP-021457,FNP-U02125,AD-010,CMP-003,click,6,29,1,2026-02-03 13:10:31
ENG-042302,IMP-090980,FNP-U02125,AD-004,CMP-001,scroll,10,73,1,2026-02-18 14:04:58
ENG-070395,IMP-090003,FNP-U02125,AD-017,CMP-005,video_watch,142,21,2,2026-02-20 13:47:29
ENG-093389,IMP-016804,FNP-U02125,AD-009,CMP-003,scroll,82,96,1,2026-02-25 09:29:06
ENG-023715,IMP-083745,FNP-U02125,AD-018,CMP-005,video_watch,209,78,1,2026-02-28 13:37:26
ENG-031024,IMP-186866,FNP-U02125,AD-019,CMP-005,video_watch,271,23,1,2026-03-02 00:57:00
ENG-016339,IMP-001450,FNP-U02125,AD-009,CMP-003,click,6,13,1,2026-03-05 06:51:35
ENG-037162,IMP-014667,FNP-U02125,AD-009,CMP-003,scroll,112,50,2,2026-03-13 06:02:47
ENG-039008,IMP-161556,FNP-U02125,AD-005,CMP-002,click,10,14,1,2026-03-13 21:10:30
ENG-025166,IMP-198737,FNP-U02125,AD-007,CMP-002,click,1,51,1,2026-03-18 13:55:17
ENG-003820,IMP-097831,FNP-U02126,AD-008,CMP-002,hover,10,2,2,2026-01-11 00:10:07
ENG-095945,IMP-163231,FNP-U02126,AD-019,CMP-005,scroll,95,74,2,2026-01-14 09:47:21
ENG-098151,IMP-071713,FNP-U02126,AD-004,CMP-001,hover,19,8,2,2026-01-18 00:35:29
ENG-011467,IMP-132198,FNP-U02126,AD-001,CMP-001,click,5,33,1,2026-01-20 06:59:16
ENG-062964,IMP-084011,FNP-U02126,AD-008,CMP-002,scroll,102,69,1,2026-01-21 18:46:24
ENG-086318,IMP-151378,FNP-U02126,AD-005,CMP-002,click,5,36,1,2026-01-30 18:26:05
ENG-028492,IMP-163127,FNP-U02126,AD-015,CMP-004,click,8,52,1,2026-02-11 13:39:10
ENG-032534,IMP-144103,FNP-U02126,AD-004,CMP-001,scroll,109,55,3,2026-02-13 13:42:03
ENG-000903,IMP-195437,FNP-U02126,AD-002,CMP-001,hover,10,6,2,2026-03-07 21:05:00
ENG-059170,IMP-111329,FNP-U02127,AD-010,CMP-003,hover,4,13,2,2026-01-16 13:17:34
ENG-069187,IMP-088552,FNP-U02127,AD-017,CMP-005,video_watch,292,55,2,2026-01-27 06:53:12
ENG-025172,IMP-053768,FNP-U02127,AD-007,CMP-002,hover,16,15,2,2026-02-02 09:27:21
ENG-000475,IMP-080065,FNP-U02127,AD-017,CMP-005,video_watch,132,33,2,2026-02-20 09:47:48
ENG-010241,IMP-015040,FNP-U02128,AD-010,CMP-003,hover,20,1,2,2026-01-05 21:22:59
ENG-025526,IMP-025849,FNP-U02128,AD-021,CMP-006,hover,13,11,2,2026-01-07 21:26:50
ENG-036855,IMP-110578,FNP-U02128,AD-017,CMP-005,scroll,93,58,1,2026-01-18 09:40:57
ENG-035597,IMP-154533,FNP-U02128,AD-015,CMP-004,hover,2,8,2,2026-01-20 21:05:10
ENG-033207,IMP-051883,FNP-U02128,AD-017,CMP-005,scroll,95,60,3,2026-01-25 21:00:54
ENG-030825,IMP-192314,FNP-U02128,AD-021,CMP-006,scroll,96,85,2,2026-01-26 09:31:28
ENG-089396,IMP-045793,FNP-U02128,AD-004,CMP-001,click,5,54,1,2026-01-31 09:10:14
ENG-080845,IMP-037373,FNP-U02128,AD-021,CMP-006,click,2,52,1,2026-02-06 18:53:06
ENG-085036,IMP-007152,FNP-U02128,AD-018,CMP-005,video_watch,254,51,1,2026-02-06 21:14:59
ENG-004135,IMP-030331,FNP-U02128,AD-016,CMP-004,click,8,19,1,2026-02-13 13:03:35
ENG-087725,IMP-012644,FNP-U02128,AD-005,CMP-002,scroll,46,59,2,2026-02-15 19:00:27
ENG-006692,IMP-016539,FNP-U02128,AD-011,CMP-003,click,9,20,1,2026-02-17 06:40:36
ENG-085555,IMP-014734,FNP-U02128,AD-004,CMP-001,hover,2,0,2,2026-02-17 13:13:26
ENG-097492,IMP-181807,FNP-U02128,AD-020,CMP-005,hover,15,10,2,2026-03-12 06:14:20
ENG-073607,IMP-179710,FNP-U02128,AD-010,CMP-003,hover,9,20,1,2026-03-17 18:59:28
ENG-094659,IMP-101834,FNP-U02128,AD-014,CMP-004,click,7,22,1,2026-03-31 13:23:44
ENG-060141,IMP-034529,FNP-U02129,AD-017,CMP-005,scroll,110,64,2,2026-01-04 18:16:15
ENG-040009,IMP-103573,FNP-U02129,AD-008,CMP-002,scroll,98,54,2,2026-01-10 18:57:20
ENG-047761,IMP-016168,FNP-U02129,AD-017,CMP-005,scroll,21,51,1,2026-01-16 13:38:36
ENG-035322,IMP-171715,FNP-U02129,AD-004,CMP-001,click,10,11,1,2026-01-26 13:08:35
ENG-076243,IMP-023487,FNP-U02129,AD-016,CMP-004,hover,20,17,1,2026-01-27 21:06:43
ENG-037735,IMP-070641,FNP-U02129,AD-017,CMP-005,click,8,32,1,2026-02-24 13:21:58
ENG-019162,IMP-152009,FNP-U02129,AD-008,CMP-002,hover,13,1,2,2026-03-02 09:25:21
ENG-099555,IMP-199360,FNP-U02129,AD-021,CMP-006,scroll,32,96,3,2026-03-18 18:22:36
ENG-056936,IMP-175790,FNP-U02129,AD-004,CMP-001,hover,17,10,2,2026-03-26 18:00:47
ENG-004972,IMP-126730,FNP-U02129,AD-017,CMP-005,click,6,40,1,2026-03-31 18:15:12
ENG-048071,IMP-092230,FNP-U02130,AD-009,CMP-003,hover,3,19,2,2026-01-11 09:03:24
ENG-033486,IMP-004895,FNP-U02130,AD-017,CMP-005,video_watch,273,45,2,2026-01-16 13:14:36
ENG-092460,IMP-003437,FNP-U02130,AD-001,CMP-001,scroll,46,93,1,2026-01-29 13:54:27
ENG-081684,IMP-149523,FNP-U02130,AD-007,CMP-002,hover,14,7,2,2026-02-05 13:48:59
ENG-047648,IMP-081113,FNP-U02130,AD-008,CMP-002,click,3,16,1,2026-02-10 13:34:38
ENG-021661,IMP-081815,FNP-U02130,AD-021,CMP-006,click,5,21,1,2026-02-18 18:08:20
ENG-089289,IMP-027052,FNP-U02130,AD-008,CMP-002,scroll,51,47,1,2026-03-02 13:55:31
ENG-030403,IMP-096104,FNP-U02130,AD-001,CMP-001,scroll,66,82,2,2026-03-07 13:48:26
ENG-023004,IMP-039260,FNP-U02130,AD-005,CMP-002,hover,16,19,1,2026-03-17 13:42:36
ENG-070602,IMP-059517,FNP-U02130,AD-016,CMP-004,hover,4,12,2,2026-03-20 18:53:42
ENG-086636,IMP-094319,FNP-U02130,AD-005,CMP-002,hover,8,20,1,2026-03-21 13:37:13
ENG-011240,IMP-001348,FNP-U02130,AD-003,CMP-001,scroll,15,95,2,2026-03-21 13:37:53
ENG-099884,IMP-159808,FNP-U02130,AD-002,CMP-001,hover,12,7,2,2026-03-21 19:01:44
ENG-008638,IMP-117058,FNP-U02130,AD-008,CMP-002,scroll,21,94,3,2026-03-24 19:03:01
ENG-068305,IMP-021987,FNP-U02131,AD-016,CMP-004,hover,19,3,2,2026-01-03 13:30:01
ENG-015160,IMP-180448,FNP-U02131,AD-001,CMP-001,scroll,71,57,1,2026-01-12 13:31:23
ENG-058604,IMP-182179,FNP-U02131,AD-018,CMP-005,scroll,74,100,3,2026-01-18 13:46:11
ENG-020411,IMP-056354,FNP-U02131,AD-002,CMP-001,click,1,36,1,2026-01-18 18:30:08
ENG-003100,IMP-068143,FNP-U02131,AD-006,CMP-002,scroll,60,69,2,2026-02-01 18:36:41
ENG-051342,IMP-111730,FNP-U02131,AD-017,CMP-005,video_watch,39,53,2,2026-02-02 00:41:07
ENG-032573,IMP-148860,FNP-U02131,AD-007,CMP-002,click,4,34,1,2026-02-12 18:45:09
ENG-032596,IMP-071161,FNP-U02131,AD-019,CMP-005,video_watch,45,60,2,2026-02-18 18:40:39
ENG-043161,IMP-190921,FNP-U02131,AD-021,CMP-006,click,6,46,1,2026-02-21 09:29:36
ENG-051576,IMP-089760,FNP-U02131,AD-012,CMP-003,click,10,12,1,2026-03-05 18:28:54
ENG-058592,IMP-104197,FNP-U02131,AD-003,CMP-001,hover,15,16,2,2026-03-08 18:52:37
ENG-026400,IMP-181558,FNP-U02131,AD-001,CMP-001,click,8,32,1,2026-03-08 21:13:41
ENG-077172,IMP-092668,FNP-U02131,AD-010,CMP-003,scroll,32,71,2,2026-03-10 21:55:33
ENG-033713,IMP-107615,FNP-U02131,AD-003,CMP-001,scroll,105,84,2,2026-03-11 13:33:44
ENG-050865,IMP-184783,FNP-U02132,AD-014,CMP-004,click,1,16,1,2026-01-04 13:04:59
ENG-090503,IMP-194083,FNP-U02132,AD-014,CMP-004,hover,7,6,1,2026-01-05 13:43:37
ENG-082966,IMP-139321,FNP-U02132,AD-016,CMP-004,hover,9,2,2,2026-01-08 18:47:38
ENG-038830,IMP-140878,FNP-U02132,AD-006,CMP-002,click,7,53,1,2026-01-24 13:17:45
ENG-025860,IMP-150516,FNP-U02132,AD-008,CMP-002,hover,14,19,1,2026-02-05 13:17:43
ENG-075999,IMP-008390,FNP-U02132,AD-008,CMP-002,click,7,35,1,2026-02-08 06:48:20
ENG-092797,IMP-108971,FNP-U02132,AD-018,CMP-005,video_watch,246,77,2,2026-02-10 09:29:13
ENG-032625,IMP-190251,FNP-U02132,AD-021,CMP-006,hover,2,10,1,2026-02-12 21:47:43
ENG-036452,IMP-035583,FNP-U02132,AD-013,CMP-004,click,3,52,1,2026-02-17 13:06:00
ENG-022364,IMP-050894,FNP-U02132,AD-001,CMP-001,click,5,14,1,2026-03-07 21:03:26
ENG-008866,IMP-074241,FNP-U02132,AD-013,CMP-004,click,3,57,1,2026-03-07 21:58:52
ENG-050286,IMP-057593,FNP-U02132,AD-009,CMP-003,hover,4,5,1,2026-03-11 13:37:45
ENG-015820,IMP-011687,FNP-U02132,AD-012,CMP-003,click,8,21,1,2026-03-15 13:56:47
ENG-077330,IMP-088250,FNP-U02132,AD-007,CMP-002,hover,14,5,2,2026-03-30 18:24:00
