conversion_id,click_id,user_id,ad_id,campaign_id,conversion_type,conversion_value,conversion_time
CONV-0262,CLK-002491,FNP-U09470,AD-018,CMP-005,Signup,0,2026-02-15 00:45:29
CONV-0263,CLK-003708,FNP-U09876,AD-010,CMP-003,Signup,0,2026-01-12 14:30:41
CONV-0264,CLK-005413,FNP-U02954,AD-007,CMP-002,Merchant,30000,2026-03-10 02:15:17
CONV-0265,CLK-004661,FNP-U05945,AD-018,CMP-005,Merchant,30000,2026-02-21 09:28:47
CONV-0266,CLK-002739,FNP-U09135,AD-015,CMP-004,Deposit,100000,2026-01-02 14:08:42
CONV-0267,CLK-002798,FNP-U06292,AD-010,CMP-003,Airtime,3000,2026-02-22 14:04:44
CONV-0268,CLK-000240,FNP-U07815,AD-021,CMP-006,Deposit,75000,2026-01-08 01:13:55
CONV-0269,CLK-003801,FNP-U01565,AD-021,CMP-006,Signup,0,2026-03-10 14:29:11
CONV-0270,CLK-002670,FNP-U09932,AD-011,CMP-003,Signup,0,2026-01-20 20:23:33
CONV-0271,CLK-002471,FNP-U01010,AD-016,CMP-004,Deposit,20000,2026-01-31 15:50:16
CONV-0272,CLK-000689,FNP-U08212,AD-013,CMP-004,Deposit,50000,2026-03-31 08:05:54
CONV-0273,CLK-001116,FNP-U06943,AD-013,CMP-004,Signup,0,2026-03-10 23:38:16
CONV-0274,CLK-004623,FNP-U03680,AD-019,CMP-005,Merchant,50000,2026-02-10 14:13:32
CONV-0275,CLK-005252,FNP-U02235,AD-017,CMP-005,Merchant,20000,2026-03-20 15:29:40
CONV-0276,CLK-001380,FNP-U03218,AD-005,CMP-002,Transfer,10000,2026-03-29 15:07:56
CONV-0277,CLK-005400,FNP-U07151,AD-015,CMP-004,Deposit,40000,2026-03-25 08:25:49
CONV-0278,CLK-002915,FNP-U09090,AD-013,CMP-004,Bills,7000,2026-03-19 14:34:54
CONV-0279,CLK-004976,FNP-U08515,AD-002,CMP-001,Signup,0,2026-02-26 10:45:57
CONV-0280,CLK-005640,FNP-U09844,AD-011,CMP-003,Signup,0,2026-03-06 19:12:32
CONV-0281,CLK-003983,FNP-U04177,AD-006,CMP-002,Merchant,5000,2026-03-24 11:57:19
CONV-0282,CLK-000587,FNP-U04710,AD-004,CMP-001,Signup,0,2026-01-27 15:02:45
CONV-0283,CLK-004006,FNP-U03716,AD-022,CMP-006,Bills,7000,2026-01-22 22:29:37
CONV-0284,CLK-003574,FNP-U02803,AD-008,CMP-002,Deposit,40000,2026-02-14 19:31:31
CONV-0285,CLK-001183,FNP-U07525,AD-004,CMP-001,Signup,0,2026-01-28 20:14:31
CONV-0286,CLK-004168,FNP-U07706,AD-013,CMP-004,Bills,10000,2026-01-17 22:55:29
CONV-0287,CLK-001759,FNP-U04733,AD-008,CMP-002,Deposit,50000,2026-03-24 19:12:56
CONV-0288,CLK-001830,FNP-U04975,AD-004,CMP-001,Deposit,30000,2026-01-25 07:20:42
CONV-0289,CLK-004543,FNP-U09853,AD-001,CMP-001,Signup,0,2026-03-29 01:27:18
CONV-0290,CLK-004361,FNP-U03341,AD-006,CMP-002,Merchant,5000,2026-01-02 15:31:40
CONV-0291,CLK-001027,FNP-U07976,AD-004,CMP-001,Signup,0,2026-01-30 07:00:01
CONV-0292,CLK-002080,FNP-U07462,AD-006,CMP-002,Merchant,5000,2026-01-19 15:18:51
CONV-0293,CLK-001859,FNP-U01791,AD-011,CMP-003,Signup,0,2026-02-21 10:50:26
CONV-0294,CLK-000361,FNP-U08539,AD-016,CMP-004,Bills,10000,2026-03-16 10:34:59
CONV-0295,CLK-004254,FNP-U05230,AD-016,CMP-004,Deposit,100000,2026-03-03 10:22:08
CONV-0296,CLK-002279,FNP-U09687,AD-002,CMP-001,Deposit,40000,2026-02-16 08:05:21
CONV-0297,CLK-005087,FNP-U09557,AD-019,CMP-005,Merchant,10000,2026-03-28 14:56:07
CONV-0298,CLK-002115,FNP-U09574,AD-016,CMP-004,Deposit,75000,2026-01-09 07:51:51
CONV-0299,CLK-003740,FNP-U08577,AD-017,CMP-005,Signup,0,2026-03-11 19:37:28
CONV-0300,CLK-000881,FNP-U01963,AD-015,CMP-004,Deposit,5000,2026-01-24 22:02:00
CONV-0301,CLK-005044,FNP-U07016,AD-010,CMP-003,Signup,0,2026-02-09 22:01:08
CONV-0302,CLK-004811,FNP-U04049,AD-001,CMP-001,Signup,0,2026-01-29 07:38:34
CONV-0303,CLK-002422,FNP-U00362,AD-008,CMP-002,Bills,5000,2026-03-06 06:57:11
CONV-0304,CLK-002043,FNP-U06794,AD-018,CMP-005,Merchant,20000,2026-02-22 07:06:53
CONV-0305,CLK-002196,FNP-U09555,AD-004,CMP-001,Signup,0,2026-03-28 11:18:52
CONV-0306,CLK-004384,FNP-U01248,AD-010,CMP-003,Signup,0,2026-03-28 15:38:59
CONV-0307,CLK-000477,FNP-U07765,AD-009,CMP-003,Deposit,10000,2026-03-07 10:49:01
CONV-0308,CLK-000641,FNP-U01823,AD-022,CMP-006,Deposit,5000,2026-01-02 11:38:26
CONV-0309,CLK-003487,FNP-U01253,AD-018,CMP-005,Merchant,50000,2026-03-26 11:24:57
CONV-0310,CLK-002181,FNP-U05266,AD-021,CMP-006,Signup,0,2026-01-24 14:39:46
CONV-0311,CLK-001963,FNP-U06987,AD-011,CMP-003,Deposit,25000,2026-02-21 19:36:34
CONV-0312,CLK-002696,FNP-U04516,AD-001,CMP-001,Signup,0,2026-02-09 14:18:29
CONV-0313,CLK-000174,FNP-U03957,AD-010,CMP-003,Signup,0,2026-03-09 15:38:09
CONV-0314,CLK-003646,FNP-U03625,AD-020,CMP-005,Signup,0,2026-01-21 14:54:24
CONV-0315,CLK-005966,FNP-U04452,AD-003,CMP-001,Deposit,100000,2026-03-01 11:07:57
CONV-0316,CLK-004026,FNP-U03785,AD-002,CMP-001,Signup,0,2026-03-29 10:35:56
CONV-0317,CLK-001330,FNP-U06514,AD-006,CMP-002,Transfer,10000,2026-03-26 20:19:15
CONV-0318,CLK-000213,FNP-U04319,AD-018,CMP-005,Transfer,75000,2026-01-07 07:09:49
CONV-0319,CLK-004875,FNP-U07367,AD-010,CMP-003,Deposit,20000,2026-02-20 10:00:10
CONV-0320,CLK-003355,FNP-U06816,AD-004,CMP-001,Signup,0,2026-01-15 19:19:35
CONV-0321,CLK-000894,FNP-U05687,AD-009,CMP-003,Deposit,5000,2026-01-18 19:28:37
CONV-0322,CLK-002480,FNP-U05771,AD-001,CMP-001,Signup,0,2026-01-12 20:25:20
CONV-0323,CLK-005339,FNP-U00900,AD-002,CMP-001,Signup,0,2026-03-24 21:35:20
CONV-0324,CLK-003071,FNP-U00300,AD-006,CMP-002,Transfer,200000,2026-01-23 14:39:09
CONV-0325,CLK-001951,FNP-U04686,AD-015,CMP-004,Bills,15000,2026-03-15 06:19:28
CONV-0326,CLK-000023,FNP-U09960,AD-017,CMP-005,Transfer,200000,2026-01-01 16:00:50
CONV-0327,CLK-003434,FNP-U00140,AD-020,CMP-005,Transfer,10000,2026-03-23 20:22:40
CONV-0328,CLK-001253,FNP-U04433,AD-003,CMP-001,Signup,0,2026-01-11 19:59:58
CONV-0329,CLK-004269,FNP-U08746,AD-008,CMP-002,Deposit,20000,2026-03-05 18:10:50
CONV-0330,CLK-002053,FNP-U04411,AD-001,CMP-001,Signup,0,2026-03-02 18:14:55
CONV-0331,CLK-005860,FNP-U09783,AD-021,CMP-006,Signup,0,2026-03-23 14:44:36
CONV-0332,CLK-001652,FNP-U05084,AD-005,CMP-002,Transfer,50000,2026-01-07 02:17:44
CONV-0333,CLK-000823,FNP-U06551,AD-002,CMP-001,Signup,0,2026-03-28 14:45:06
CONV-0334,CLK-003536,FNP-U09856,AD-004,CMP-001,Signup,0,2026-02-26 15:19:00
CONV-0335,CLK-004935,FNP-U07054,AD-004,CMP-001,Signup,0,2026-03-02 07:05:48
CONV-0336,CLK-002465,FNP-U04897,AD-014,CMP-004,Deposit,20000,2026-03-28 09:51:36
CONV-0337,CLK-005624,FNP-U06981,AD-022,CMP-006,Signup,0,2026-02-11 22:43:44
CONV-0338,CLK-000830,FNP-U04168,AD-005,CMP-002,Transfer,10000,2026-01-02 13:55:11
CONV-0339,CLK-001687,FNP-U07434,AD-014,CMP-004,Signup,0,2026-01-17 15:15:43
CONV-0340,CLK-001492,FNP-U05220,AD-008,CMP-002,Merchant,10000,2026-01-21 14:47:17
CONV-0341,CLK-001293,FNP-U09323,AD-004,CMP-001,Signup,0,2026-02-03 01:11:31
CONV-0342,CLK-005002,FNP-U03665,AD-021,CMP-006,Signup,0,2026-03-11 19:48:00
CONV-0343,CLK-003381,FNP-U00269,AD-008,CMP-002,Merchant,30000,2026-03-06 08:07:41
CONV-0344,CLK-004536,FNP-U09062,AD-003,CMP-001,Signup,0,2026-03-15 15:27:24
CONV-0345,CLK-002790,FNP-U01080,AD-019,CMP-005,Merchant,10000,2026-02-20 06:29:51
CONV-0346,CLK-000585,FNP-U01787,AD-020,CMP-005,Merchant,5000,2026-02-22 22:54:16
CONV-0347,CLK-005016,FNP-U03381,AD-005,CMP-002,Deposit,10000,2026-01-23 19:57:09
CONV-0348,CLK-000404,FNP-U08917,AD-008,CMP-002,Deposit,30000,2026-03-26 07:01:01
CONV-0349,CLK-001117,FNP-U03716,AD-006,CMP-002,Bills,15000,2026-03-26 10:07:54
CONV-0350,CLK-003685,FNP-U04576,AD-008,CMP-002,Merchant,30000,2026-03-10 10:39:29
CONV-0351,CLK-002264,FNP-U03534,AD-022,CMP-006,Signup,0,2026-03-15 00:57:40
CONV-0352,CLK-005001,FNP-U09222,AD-001,CMP-001,Signup,0,2026-01-11 07:57:05
CONV-0353,CLK-004859,FNP-U06832,AD-013,CMP-004,Deposit,10000,2026-01-05 19:52:44
CONV-0354,CLK-005074,FNP-U00680,AD-014,CMP-004,Deposit,40000,2026-01-04 14:54:52
CONV-0355,CLK-002578,FNP-U06835,AD-019,CMP-005,Transfer,100000,2026-03-19 15:03:13
CONV-0356,CLK-001347,FNP-U05442,AD-016,CMP-004,Signup,0,2026-01-02 10:56:38
CONV-0357,CLK-001251,FNP-U02270,AD-003,CMP-001,Signup,0,2026-01-08 21:17:44
CONV-0358,CLK-000659,FNP-U07662,AD-017,CMP-005,Transfer,20000,2026-01-22 18:46:11
CONV-0359,CLK-004684,FNP-U04019,AD-013,CMP-004,Deposit,20000,2026-03-16 13:37:42
CONV-0360,CLK-005792,FNP-U09914,AD-001,CMP-001,Deposit,30000,2026-01-10 11:07:14
CONV-0361,CLK-002064,FNP-U07052,AD-015,CMP-004,Deposit,40000,2026-02-06 07:32:21
CONV-0362,CLK-002845,FNP-U05060,AD-020,CMP-005,Merchant,30000,2026-01-16 10:33:35
CONV-0363,CLK-000172,FNP-U09059,AD-014,CMP-004,Deposit,25000,2026-03-15 21:26:30
CONV-0364,CLK-003836,FNP-U04081,AD-008,CMP-002,Transfer,100000,2026-03-22 20:27:43
CONV-0365,CLK-000961,FNP-U07996,AD-004,CMP-001,Signup,0,2026-01-25 19:47:04
CONV-0366,CLK-002530,FNP-U05658,AD-017,CMP-005,Merchant,20000,2026-01-27 14:59:35
CONV-0367,CLK-001739,FNP-U00705,AD-001,CMP-001,Deposit,50000,2026-01-11 14:17:36
CONV-0368,CLK-002360,FNP-U04511,AD-004,CMP-001,Signup,0,2026-03-06 13:52:37
CONV-0369,CLK-002799,FNP-U03108,AD-004,CMP-001,Signup,0,2026-01-02 19:35:28
CONV-0370,CLK-002822,FNP-U08943,AD-008,CMP-002,Transfer,10000,2026-03-31 20:21:47
CONV-0371,CLK-002062,FNP-U07920,AD-006,CMP-002,Deposit,25000,2026-01-07 15:04:45
CONV-0372,CLK-005848,FNP-U06771,AD-002,CMP-001,Signup,0,2026-02-16 09:46:45
CONV-0373,CLK-003745,FNP-U03875,AD-001,CMP-001,Signup,0,2026-02-17 15:19:51
CONV-0374,CLK-003214,FNP-U04478,AD-005,CMP-002,Deposit,100000,2026-01-01 22:03:24
CONV-0375,CLK-003791,FNP-U03945,AD-004,CMP-001,Deposit,50000,2026-02-07 23:11:48
CONV-0376,CLK-002304,FNP-U06968,AD-006,CMP-002,Transfer,10000,2026-03-21 19:52:54
CONV-0377,CLK-003590,FNP-U03371,AD-006,CMP-002,Deposit,50000,2026-03-07 15:44:32
CONV-0378,CLK-001763,FNP-U00660,AD-001,CMP-001,Signup,0,2026-02-22 08:30:30
CONV-0379,CLK-005314,FNP-U01951,AD-015,CMP-004,Bills,5000,2026-03-19 14:20:42
CONV-0380,CLK-002999,FNP-U07633,AD-017,CMP-005,Signup,0,2026-02-16 21:38:54
CONV-0381,CLK-004910,FNP-U05340,AD-010,CMP-003,Signup,0,2026-02-01 15:29:07
CONV-0382,CLK-001198,FNP-U00676,AD-006,CMP-002,Deposit,25000,2026-03-04 14:07:28
CONV-0383,CLK-003182,FNP-U05912,AD-014,CMP-004,Bills,5000,2026-02-20 11:10:30
CONV-0384,CLK-000893,FNP-U04335,AD-019,CMP-005,Deposit,100000,2026-03-25 23:52:06
CONV-0385,CLK-000747,FNP-U01776,AD-017,CMP-005,Merchant,10000,2026-03-27 10:58:42
CONV-0386,CLK-001839,FNP-U07240,AD-013,CMP-004,Deposit,30000,2026-02-10 20:00:31
CONV-0387,CLK-002815,FNP-U02235,AD-004,CMP-001,Airtime,3000,2026-01-23 19:28:49
CONV-0388,CLK-001679,FNP-U03246,AD-008,CMP-002,Transfer,20000,2026-03-26 10:41:20
CONV-0389,CLK-004773,FNP-U03791,AD-017,CMP-005,Deposit,25000,2026-03-15 20:33:54
CONV-0390,CLK-001595,FNP-U00779,AD-002,CMP-001,Signup,0,2026-01-06 09:55:25
CONV-0391,CLK-005956,FNP-U09911,AD-004,CMP-001,Signup,0,2026-01-12 13:44:09
CONV-0392,CLK-000497,FNP-U07758,AD-006,CMP-002,Merchant,20000,2026-01-28 08:04:11
CONV-0393,CLK-000837,FNP-U06410,AD-001,CMP-001,Signup,0,2026-01-27 21:26:58
CONV-0394,CLK-004552,FNP-U06205,AD-012,CMP-003,Deposit,30000,2026-03-18 22:53:49
CONV-0395,CLK-001445,FNP-U03630,AD-014,CMP-004,Signup,0,2026-01-14 20:13:04
CONV-0396,CLK-002005,FNP-U06559,AD-004,CMP-001,Signup,0,2026-02-27 15:15:44
CONV-0397,CLK-002197,FNP-U08544,AD-017,CMP-005,Deposit,20000,2026-02-22 07:43:21
CONV-0398,CLK-002925,FNP-U00880,AD-015,CMP-004,Deposit,5000,2026-02-03 22:30:25
CONV-0399,CLK-005604,FNP-U09479,AD-009,CMP-003,Signup,0,2026-01-01 22:15:15
CONV-0400,CLK-000128,FNP-U09980,AD-006,CMP-002,Deposit,75000,2026-02-25 08:20:17
CONV-0401,CLK-003944,FNP-U02452,AD-013,CMP-004,Deposit,30000,2026-03-21 23:26:07
CONV-0402,CLK-001010,FNP-U01656,AD-018,CMP-005,Merchant,15000,2026-02-13 14:11:27
CONV-0403,CLK-005676,FNP-U07160,AD-007,CMP-002,Merchant,15000,2026-01-10 15:29:36
CONV-0404,CLK-001479,FNP-U03376,AD-020,CMP-005,Transfer,10000,2026-02-19 11:32:30
CONV-0405,CLK-003296,FNP-U03800,AD-005,CMP-002,Transfer,50000,2026-01-25 18:32:58
CONV-0406,CLK-001660,FNP-U06045,AD-006,CMP-002,Deposit,50000,2026-01-10 10:06:00
CONV-0407,CLK-002792,FNP-U06466,AD-010,CMP-003,Signup,0,2026-01-10 14:41:35
CONV-0408,CLK-002050,FNP-U09091,AD-007,CMP-002,Deposit,15000,2026-01-25 10:18:26
CONV-0409,CLK-004852,FNP-U05299,AD-015,CMP-004,Signup,0,2026-03-22 23:20:11
CONV-0410,CLK-005448,FNP-U04558,AD-017,CMP-005,Signup,0,2026-02-25 21:52:09
CONV-0411,CLK-004654,FNP-U04172,AD-021,CMP-006,Signup,0,2026-03-01 20:33:17
CONV-0412,CLK-001150,FNP-U09854,AD-008,CMP-002,Merchant,30000,2026-02-01 19:51:14
CONV-0413,CLK-003505,FNP-U03581,AD-013,CMP-004,Bills,7000,2026-02-21 14:42:33
CONV-0414,CLK-000699,FNP-U00004,AD-002,CMP-001,Deposit,10000,2026-01-09 10:42:30
CONV-0415,CLK-005315,FNP-U08003,AD-014,CMP-004,Bills,10000,2026-03-12 10:14:51
CONV-0416,CLK-000316,FNP-U07222,AD-002,CMP-001,Signup,0,2026-02-07 15:40:10
CONV-0417,CLK-004551,FNP-U03145,AD-021,CMP-006,Signup,0,2026-02-25 14:03:58
CONV-0418,CLK-004391,FNP-U02907,AD-017,CMP-005,Transfer,20000,2026-02-25 22:38:07
CONV-0419,CLK-003116,FNP-U07312,AD-009,CMP-003,Deposit,30000,2026-02-18 10:09:27
CONV-0420,CLK-001385,FNP-U07647,AD-001,CMP-001,Signup,0,2026-01-20 19:59:53
